VM,Task,Function Index,Task Name,Budget Function,used_budget_per_period_read[0],used_budget_per_period_read[1],used_budget_per_period_read[2],used_budget_per_period_read[3],used_budget_per_period_read[4],used_budget_per_period_read[5],used_budget_per_period_read[6],used_budget_per_period_read[7],used_budget_per_period_read[8],used_budget_per_period_read[9],used_budget_per_period_write[0],used_budget_per_period_write[1],used_budget_per_period_write[2],used_budget_per_period_write[3],used_budget_per_period_write[4],used_budget_per_period_write[5],used_budget_per_period_write[6],used_budget_per_period_write[7],used_budget_per_period_write[8],used_budget_per_period_write[9],total_used_budget_rw_per_index[0],total_used_budget_rw_per_index[1],total_used_budget_rw_per_index[2],total_used_budget_rw_per_index[3],total_used_budget_rw_per_index[4],total_used_budget_rw_per_index[5],total_used_budget_rw_per_index[6],total_used_budget_rw_per_index[7],total_used_budget_rw_per_index[8],total_used_budget_rw_per_index[9],total_used_budget_rw,calc_per_period_read[0],calc_per_period_read[1],calc_per_period_read[2],calc_per_period_read[3],calc_per_period_read[4],calc_per_period_read[5],calc_per_period_read[6],calc_per_period_read[7],calc_per_period_read[8],calc_per_period_read[9],calc_per_period_write[0],calc_per_period_write[1],calc_per_period_write[2],calc_per_period_write[3],calc_per_period_write[4],calc_per_period_write[5],calc_per_period_write[6],calc_per_period_write[7],calc_per_period_write[8],calc_per_period_write[9],total_calc_rw_per_index[0],total_calc_rw_per_index[1],total_calc_rw_per_index[2],total_calc_rw_per_index[3],total_calc_rw_per_index[4],total_calc_rw_per_index[5],total_calc_rw_per_index[6],total_calc_rw_per_index[7],total_calc_rw_per_index[8],total_calc_rw_per_index[9],total_calc_rw,clock_per_period[0],clock_per_period[1],clock_per_period[2],clock_per_period[3],clock_per_period[4],clock_per_period[5],clock_per_period[6],clock_per_period[7],clock_per_period[8],clock_per_period[9],total_clock
2,0,12,equals_ab,EWMA,13,10,9,9,8,8,8,8,8,8,5,8,9,9,6,6,6,6,6,6,18,18,18,18,14,14,14,14,14,14,156,2,3,4,4,4,4,4,4,4,4,1,2,3,3,3,3,3,3,3,3,3,5,7,7,7,7,7,7,7,7,64,666,312,309,309,309,312,312,309,309,312,3459
3,0,14,greater_than_ab,EWMA,13,10,9,9,8,8,8,8,8,8,5,8,9,9,8,7,5,7,7,7,18,18,18,18,16,15,13,15,15,15,161,2,3,4,4,4,4,4,4,4,4,1,2,3,3,4,4,4,4,4,4,3,5,7,7,8,8,8,8,8,8,70,507,312,312,312,309,312,312,312,312,309,3309
1,1,11,shift_b_right_1,EWMA,8,7,7,8,8,6,6,6,6,6,8,7,7,8,8,5,5,5,5,5,16,14,14,16,16,11,11,11,11,11,131,3,3,3,4,4,4,4,4,4,4,1,2,2,3,3,3,3,3,3,3,4,5,5,7,7,7,7,7,7,7,63,303,302,303,303,303,303,303,303,303,303,3029
3,1,15,less_than_ab,EWMA,12,12,10,9,9,9,9,8,8,8,9,9,8,7,7,7,7,6,6,6,21,21,18,16,16,16,16,14,14,14,166,2,2,3,4,4,4,4,4,4,4,1,1,2,3,3,3,3,3,3,3,3,3,5,7,7,7,7,7,7,7,60,312,331,308,308,311,311,311,311,308,311,3122
0,0,16,max_ab,EWMA,13,11,10,10,9,8,8,8,8,8,5,8,8,8,7,7,6,7,7,7,18,19,18,18,16,15,14,15,15,15,163,2,3,4,4,5,5,5,5,5,5,1,2,3,3,3,3,3,3,3,3,3,5,7,7,8,8,8,8,8,8,70,512,307,307,310,307,310,307,310,310,310,3290
1,0,18,logical_and,EWMA,11,11,11,10,9,8,9,9,9,9,9,9,9,8,7,6,7,7,7,7,20,20,20,18,16,14,16,16,16,16,172,3,4,4,5,5,5,5,5,5,5,1,2,2,3,3,3,3,3,3,3,4,6,6,8,8,8,8,8,8,8,72,511,310,310,310,310,310,310,310,310,310,3301
0,1,17,min_ab,EWMA,13,13,10,9,9,9,8,8,8,8,9,9,9,8,8,8,7,7,7,7,22,22,19,17,17,17,15,15,15,15,174,2,2,3,4,4,4,4,4,4,4,1,1,2,3,3,3,3,3,3,3,3,3,5,7,7,7,7,7,7,7,60,307,337,310,307,310,310,310,307,310,310,3118
2,0,20,logical_not_equal,EWMA,12,10,7,7,9,8,8,8,8,8,9,8,8,8,6,6,6,6,6,6,21,18,15,15,15,14,14,14,14,14,154,2,3,3,3,4,4,4,4,4,4,1,2,3,3,3,3,3,3,3,3,3,5,6,6,7,7,7,7,7,7,62,679,312,312,312,312,309,309,312,309,309,3475
3,0,22,decrement_b_100_times,EWMA,362,362,362,362,362,362,362,362,362,362,264,264,264,264,264,264,264,264,264,264,626,626,626,626,626,626,626,626,626,626,6260,72,72,72,72,72,72,72,72,72,72,52,52,52,52,52,52,52,52,52,52,124,124,124,124,124,124,124,124,124,124,1240,1271,1238,1893,1865,1860,1869,1864,1862,1860,1860,17442
1,1,19,logical_or,EWMA,15,15,11,10,10,8,8,9,9,9,5,5,8,7,7,7,7,6,6,6,20,20,19,17,17,15,15,15,15,15,168,3,3,4,5,5,5,5,5,5,5,1,1,2,3,3,3,3,3,3,3,4,4,6,8,8,8,8,8,8,8,70,329,337,310,310,310,310,310,310,310,310,3146
0,0,24,sum_1_to_100,EWMA,464,464,464,464,464,464,464,464,464,464,260,260,260,260,260,260,260,260,260,260,724,724,724,724,724,724,724,724,724,724,7240,92,92,92,92,92,92,92,92,92,92,52,52,52,52,52,52,52,52,52,52,144,144,144,144,144,144,144,144,144,144,1440,1210,1032,1715,1678,1675,1673,1676,1676,1676,1676,15687
1,0,26,popcount_a,EWMA,122,122,122,122,122,122,122,122,122,122,86,86,86,86,86,86,86,86,86,86,208,208,208,208,208,208,208,208,208,208,2080,24,24,24,24,24,24,24,24,24,24,17,17,17,17,17,17,17,17,17,17,41,41,41,41,41,41,41,41,41,41,410,681,434,1112,1077,1068,1077,1068,1070,1075,1070,9732
2,0,28,lcg_sequence,EWMA,121,121,102,87,78,71,71,66,21,69,92,92,76,65,58,60,60,48,9,57,213,213,178,152,136,131,131,114,30,126,1424,24,24,39,48,54,57,57,58,50,53,18,18,29,36,40,44,44,44,37,41,42,42,68,84,94,101,101,102,87,94,815,1019,739,1394,1352,1367,1350,1350,1350,1350,1373,12644
3,1,31,sum_of_squares_0_to_99,EWMA,470,376,376,319,286,286,266,254,254,247,265,213,213,180,162,162,150,143,143,139,735,589,589,499,448,448,416,397,397,386,4904,94,150,150,183,203,203,215,222,222,227,53,85,85,104,115,115,122,126,126,128,147,235,235,287,318,318,337,348,348,355,2928,1366,1386,1754,1704,1990,1990,1992,1994,1997,1988,18161
3,0,30,sum_of_squares_ab,EWMA,11,9,10,8,8,8,8,8,8,8,236,3,5,3,3,3,3,3,3,3,247,12,15,11,11,11,11,11,11,11,351,134,5,6,6,6,6,6,6,6,6,233,1,1,1,1,1,1,1,1,1,367,6,7,7,7,7,7,7,7,7,429,654,305,308,308,308,308,308,308,305,305,3417
0,0,32,repeated_square_mod,EWMA,95,95,95,95,95,95,95,95,95,95,75,75,75,75,75,75,75,75,75,75,170,170,170,170,170,170,170,170,170,170,1700,19,19,19,19,19,19,19,19,19,19,15,15,15,15,15,15,15,15,15,15,34,34,34,34,34,34,34,34,34,34,340,747,517,1154,1130,1133,1137,1133,1131,1135,1135,10352
1,0,34,fibonacci_20,EWMA,177,177,177,177,177,177,177,177,177,177,141,141,141,141,141,141,141,141,141,141,318,318,318,318,318,318,318,318,318,318,3180,35,35,35,35,35,35,35,35,35,35,28,28,28,28,28,28,28,28,28,28,63,63,63,63,63,63,63,63,63,63,630,643,586,1277,1227,1220,1234,1228,1197,1229,1194,11035
2,0,36,russian_peasant_mul,EWMA,125,125,98,84,82,32,32,81,31,80,87,87,73,66,51,9,9,54,11,55,212,212,171,150,133,41,41,135,42,135,1272,25,25,39,48,54,49,49,55,50,56,17,17,28,35,38,32,32,36,31,35,42,42,67,83,92,81,81,91,81,91,751,901,600,1222,1146,1107,1147,1137,1134,1153,1091,10638
3,0,38,sum_of_cubes_1_to_10,EWMA,120,120,120,92,33,33,33,78,78,26,74,74,74,59,10,10,10,52,52,7,194,194,194,151,43,43,43,130,130,33,1155,24,24,24,37,36,36,36,44,44,40,14,14,14,23,20,20,20,26,26,22,38,38,38,60,56,56,56,70,70,62,544,732,406,1108,1058,1076,1027,1024,1043,1043,1037,9554
3,1,39,xor_all_globals,EWMA,25,12,12,12,11,11,10,10,10,10,8,4,4,6,5,5,5,5,5,5,33,16,16,18,16,16,15,15,15,15,175,41,4,4,5,6,6,6,6,6,6,21,1,1,2,2,2,2,2,2,2,62,5,5,7,8,8,8,8,8,8,127,312,335,335,331,307,307,304,307,307,307,3152
0,0,40,complex_bitwise,EWMA,16,13,9,9,9,9,8,9,9,9,6,5,10,10,9,8,6,7,7,7,22,18,19,19,18,17,14,16,16,16,175,3,5,5,5,5,5,5,5,5,5,1,1,2,2,3,4,4,4,4,4,4,6,7,7,8,9,9,9,9,9,77,510,310,310,310,310,310,310,310,310,307,3297
1,0,42,mixed_arithmetic_masked,EWMA,16,13,11,10,10,10,10,10,10,8,6,10,9,8,7,7,7,7,7,11,22,23,20,18,17,17,17,17,17,19,187,3,5,6,6,6,6,6,6,6,6,1,2,3,4,4,4,4,4,4,5,4,7,9,10,10,10,10,10,10,11,91,645,315,315,315,315,315,315,315,315,315,3480
0,1,41,mixed_arithmetic_mod,EWMA,15,15,11,10,10,10,9,9,9,9,5,5,8,7,7,7,6,6,6,6,20,20,19,17,17,17,15,15,15,15,170,3,3,4,5,5,5,5,5,5,5,1,1,2,3,3,3,3,3,3,3,4,4,6,8,8,8,8,8,8,8,70,326,309,310,307,307,310,310,307,310,310,3106
2,0,44,abs_a_bitwise,EWMA,15,12,12,12,10,9,9,9,9,9,13,11,12,12,9,8,8,8,8,8,28,23,24,24,19,17,17,17,17,17,203,3,4,5,5,6,6,6,6,6,6,2,3,4,4,5,5,5,5,5,5,5,7,9,9,11,11,11,11,11,11,96,795,313,316,316,313,313,313,313,316,316,3624
1,1,43,swap_ab_and_sum,EWMA,21,17,17,15,14,14,14,10,10,10,16,13,13,11,10,10,10,10,10,10,37,30,30,26,24,24,24,20,20,20,255,4,6,6,7,8,8,8,8,8,8,3,5,5,6,6,6,6,6,6,6,7,11,11,13,14,14,14,14,14,14,126,318,351,318,318,318,318,318,318,318,318,3213
3,1,47,parity_a,EWMA,126,102,102,80,74,74,74,74,74,74,87,72,72,58,46,46,46,46,46,46,213,174,174,138,120,120,120,120,120,120,1419,25,40,40,48,53,53,53,53,53,53,17,28,28,34,36,36,36,36,36,36,42,68,68,82,89,89,89,89,89,89,794,475,498,1172,1124,1088,1101,1095,1089,1091,1091,9824
3,0,46,count_bits_in_b,EWMA,89,89,89,27,25,25,25,25,25,26,68,68,68,12,13,13,13,13,13,19,157,157,157,39,38,38,38,38,38,45,745,17,17,17,19,20,20,20,20,20,21,13,13,13,12,12,12,12,12,12,13,30,30,30,31,32,32,32,32,32,34,315,726,394,1055,1029,1001,997,1001,998,1002,1002,9205
0,1,49,simple_parity_a,EWMA,145,115,115,95,83,83,83,81,81,34,91,73,73,63,59,59,53,44,44,6,236,188,188,158,142,142,136,125,125,40,1480,29,46,46,55,60,60,64,67,67,60,18,29,29,35,39,39,41,41,41,34,47,75,75,90,99,99,105,108,108,94,900,501,483,1133,1091,1101,1093,1098,1083,1096,1073,9752
1,0,50,count_ones_in_a,EWMA,119,119,119,119,119,119,119,119,119,119,82,82,82,82,82,82,82,82,82,82,201,201,201,201,201,201,201,201,201,201,2010,23,23,23,23,23,23,23,23,23,23,16,16,16,16,16,16,16,16,16,16,39,39,39,39,39,39,39,39,39,39,390,668,426,1108,1069,1059,1061,1068,1059,1059,1059,9636
0,0,48,shift_mix_ab,EWMA,10,8,7,7,7,7,7,7,7,7,7,6,8,4,4,4,4,4,4,7,17,14,15,11,11,11,11,11,11,14,126,2,3,3,3,3,3,3,3,3,3,1,2,3,3,3,3,3,3,3,3,3,5,6,6,6,6,6,6,6,6,56,520,298,301,301,301,298,298,301,301,301,3220
2,0,52,selection_sort,EWMA,53711,53711,42939,36520,32616,30291,30291,28860,28123,27602,10824,10824,8640,7376,6553,6080,6080,5787,5691,5561,64535,64535,51579,43896,39169,36371,36371,34647,33814,33163,438080,10742,10742,17181,21048,23361,24747,24747,25569,26079,26383,2164,2164,3459,4242,4704,4979,4979,5140,5250,5312,12906,12906,20640,25290,28065,29726,29726,30709,31329,31695,252992,85176,83543,83727,83093,82847,82784,82935,83929,82653,82810,833497
3,0,54,insertion_sort,EWMA,21973,21973,21973,21973,21973,21973,21973,21973,21973,21973,5794,5794,5794,5794,5794,5794,5794,5794,5794,5794,27767,27767,27767,27767,27767,27767,27767,27767,27767,27767,277670,4394,4394,4394,4394,4394,4394,4394,4394,4394,4394,1158,1158,1158,1158,1158,1158,1158,1158,1158,1158,5552,5552,5552,5552,5552,5552,5552,5552,5552,5552,55520,43886,42470,43068,42777,42687,42751,42715,42690,42708,42690,428442
