
1306624 bytes read in 95 ms (13.1 MiB/s)
## Starting application at 0x00200000 ...
BENCH_ARRAY_INDEX 0
budget_function,total_used_budget_r,total_used_budget_w,total_calc_r,total_calc_w,used_budget_per_period_read[0],used_budget_per_period_read[1],used_budget_per_period_read[2],used_budget_per_period_read[3],used_budget_per_period_read[4],used_budget_per_period_read[5],used_budget_per_period_read[6],used_budget_per_period_read[7],used_budget_per_period_read[8],used_budget_per_period_read[9],used_budget_per_period_read[10],used_budget_per_period_read[11],used_budget_per_period_read[12],used_budget_per_period_read[13],used_budget_per_period_read[14],used_budget_per_period_write[0],used_budget_per_period_write[1],used_budget_per_period_write[2],used_budget_per_period_write[3],used_budget_per_period_write[4],used_budget_per_period_write[5],used_budget_per_period_write[6],used_budget_per_period_write[7],used_budget_per_period_write[8],used_budget_per_period_write[9],used_budget_per_period_write[10],used_budget_per_period_write[11],used_budget_per_period_write[12],used_budget_per_period_write[13],used_budget_per_period_write[14],calc_per_period_read[0],calc_per_period_read[1],calc_per_period_read[2],calc_per_period_read[3],calc_per_period_read[4],calc_per_period_read[5],calc_per_period_read[6],calc_per_period_read[7],calc_per_period_read[8],calc_per_period_read[9],calc_per_period_read[10],calc_per_period_read[11],calc_per_period_read[12],calc_per_period_read[13],calc_per_period_read[14],calc_per_period_write[0],calc_per_period_write[1],calc_per_period_write[2],calc_per_period_write[3],calc_per_period_write[4],calc_per_period_write[5],calc_per_period_write[6],calc_per_period_write[7],calc_per_period_write[8],calc_per_period_write[9],calc_per_period_write[10],calc_per_period_write[11],calc_per_period_write[12],calc_per_period_write[13],calc_per_period_write[14],
[DEBUG] NOTHING 0
[DEBUG] NOTHING 1
[BAO]   total_calculated_new_read_budget = 0
[BAO]   total_calculated_new_write_budget= 0
[BAO] Counters: BEFORE
[BAO] C0: 38608
[BAO] C1: 4294841858
[BAO] C2: 0
[BAO] C3: 0
[BAO] C4: 0
[BAO] C5: 0
[BAO] EWMA: BEFORE
[BAO]   previous_predicted_read_budget  = 0
[BAO]   previous_predicted_write_budget = 0
[BAO]   new_read_budget                 = 0
[BAO]   new_write_budget                = 0
[BAO]   alpha                           = 2
[BAO]   scaling_factor                  = 10
[BAO] [BAO] OK current_read_usage != 0
[BAO] EWMA: AFTER
[BAO]   previous_predicted_read_budget  = 0
[BAO]   previous_predicted_write_budget = 0
[BAO]   new_read_budget                 = 7721
[BAO]   new_write_budget                = 0
[BAO]   alpha                           = 2
[BAO]   scaling_factor                  = 10
[BAO] VM: AFTER
[BAO]   depleated_op_type               = 4294967295
[BAO]   defined_pmu_read_val            = 250000
[BAO]   defined_pmu_write_val           = 250000
[BAO]   current_used_read_budget        = 38608
[BAO]   current_used_write_budget       = 0
[BAO]   new_read_budget                 = 7721
[BAO]   new_write_budget                = 0
[BAO]   total_used_read_budget          = 38608
[BAO]   total_used_write_budget         = 0
[BAO]   total_calculated_new_read_budget = 0
[BAO]   total_calculated_new_write_budget= 0
[BAO] Counters: AFTER
[BAO] C0: 0
[BAO] C1: 0
[BAO] C2: 0
[BAO] C3: 0
[BAO] C4: 0
[BAO] C5: 0
[DEBUG] done
[DEBUG] NOTHING 2
[DEBUG] OVERFLOW SIGNAL
[DEBUG] get budget TIMEOUT: 
[DEBUG] (current_time_task_any - last_check_time_task_any) >= period_task_any
[DEBUG] (60 - 30) >= 30 | 30 >= 30
[DEBUG] suspending task 0
[DEBUG] calling HC_regulator_get_new_budget
[BAO] regulator_budget_depleted	 formula 0
[BAO] VM: BEFORE
[BAO]   depleated_op_type               = 4294967295
[BAO]   defined_pmu_read_val            = 7721
[BAO]   defined_pmu_write_val           = 0
[BAO]   current_used_read_budget        = 38608
[BAO]   current_used_write_budget       = 0
[BAO]   new_read_budget                 = 7721
[BAO]   new_write_budget                = 0
[BAO]   total_used_read_budget          = 38608
[BAO]   total_used_write_budget         = 0
[BAO]   total_calculated_new_read_budget = 0
[BAO]   total_calculated_new_write_budget= 0
[BAO] Counters: BEFORE
[BAO] C0: 372949
[BAO] C1: 151298
[BAO] C2: 0
[BAO] C3: 0
[BAO] C4: 0
[BAO] C5: 0
[BAO] EWMA: BEFORE
[BAO]   previous_predicted_read_budget  = 0
[BAO]   previous_predicted_write_budget = 0
[BAO]   new_read_budget                 = 7721
[BAO]   new_write_budget                = 0
[BAO]   alpha                           = 2
[BAO]   scaling_factor                  = 10
[BAO] [BAO] OK current_read_usage != 0
[BAO] [BAO] OK current_write_usage != 0
[BAO] EWMA: AFTER
[BAO]   previous_predicted_read_budget  = 7721
[BAO]   previous_predicted_write_budget = 0
[BAO]   new_read_budget                 = 80766
[BAO]   new_write_budget                = 30259
[BAO]   alpha                           = 2
[BAO]   scaling_factor                  = 10
[BAO] VM: AFTER
[BAO]   depleated_op_type               = 4294967295
[BAO]   defined_pmu_read_val            = 7721
[BAO]   defined_pmu_write_val           = 0
[BAO]   current_used_read_budget        = 372949
[BAO]   current_used_write_budget       = 151298
[BAO]   new_read_budget                 = 80766
[BAO]   new_write_budget                = 30259
[BAO]   total_used_read_budget          = 411557
[BAO]   total_used_write_budget         = 151298
[BAO]   total_calculated_new_read_budget = 0
[BAO]   total_calculated_new_write_budget= 0
[BAO] Counters: AFTER
[BAO] C0: 0
[BAO] C1: 0
[BAO] C2: 0
[BAO] C3: 0
[BAO] C4: 0
[BAO] C5: 0
[DEBUG] done
[DEBUG] NOTHING 3
[DEBUG] OVERFLOW SIGNAL
[DEBUG] get budget TIMEOUT: 
[DEBUG] (current_time_task_any - last_check_time_task_any) >= period_task_any
[DEBUG] (90 - 60) >= 30 | 30 >= 30
[DEBUG] suspending task 0
[DEBUG] calling HC_regulator_get_new_budget
[BAO] regulator_budget_depleted	 formula 0
[BAO] VM: BEFORE
[BAO]   depleated_op_type               = 4294967295
[BAO]   defined_pmu_read_val            = 80766
[BAO]   defined_pmu_write_val           = 30259
[BAO]   current_used_read_budget        = 372949
[BAO]   current_used_write_budget       = 151298
[BAO]   new_read_budget                 = 80766
[BAO]   new_write_budget                = 30259
[BAO]   total_used_read_budget          = 411557
[BAO]   total_used_write_budget         = 151298
[BAO]   total_calculated_new_read_budget = 0
[BAO]   total_calculated_new_write_budget= 0
[BAO] Counters: BEFORE
[BAO] C0: 288944
[BAO] C1: 117819
[BAO] C2: 0
[BAO] C3: 0
[BAO] C4: 0
[BAO] C5: 0
[BAO] EWMA: BEFORE
[BAO]   previous_predicted_read_budget  = 7721
[BAO]   previous_predicted_write_budget = 0
[BAO]   new_read_budget                 = 80766
[BAO]   new_write_budget                = 30259
[BAO]   alpha                           = 2
[BAO]   scaling_factor                  = 10
[BAO] [BAO] OK current_read_usage != 0
[BAO] [BAO] OK current_write_usage != 0
[BAO] EWMA: AFTER
[BAO]   previous_predicted_read_budget  = 80766
[BAO]   previous_predicted_write_budget = 30259
[BAO]   new_read_budget                 = 122401
[BAO]   new_write_budget                = 47771
[BAO]   alpha                           = 2
[BAO]   scaling_factor                  = 10
[BAO] VM: AFTER
[BAO]   depleated_op_type               = 4294967295
[BAO]   defined_pmu_read_val            = 80766
[BAO]   defined_pmu_write_val           = 30259
[BAO]   current_used_read_budget        = 288944
[BAO]   current_used_write_budget       = 117819
[BAO]   new_read_budget                 = 122401
[BAO]   new_write_budget                = 47771
[BAO]   total_used_read_budget          = 700501
[BAO]   total_used_write_budget         = 269117
[BAO]   total_calculated_new_read_budget = 0
[BAO]   total_calculated_new_write_budget= 0
[BAO] Counters: AFTER
[BAO] C0: 0
[BAO] C1: 0
[BAO] C2: 0
[BAO] C3: 0
[BAO] C4: 0
[BAO] C5: 0
[DEBUG] done
[DEBUG] NOTHING 4
[DEBUG] OVERFLOW SIGNAL
[DEBUG] get budget TIMEOUT: 
[DEBUG] (current_time_task_any - last_check_time_task_any) >= period_task_any
[DEBUG] (120 - 90) >= 30 | 30 >= 30
[DEBUG] suspending task 0
[DEBUG] calling HC_regulator_get_new_budget
[BAO] regulator_budget_depleted	 formula 0
[BAO] VM: BEFORE
[BAO]   depleated_op_type               = 4294967295
[BAO]   defined_pmu_read_val            = 122401
[BAO]   defined_pmu_write_val           = 47771
[BAO]   current_used_read_budget        = 288944
[BAO]   current_used_write_budget       = 117819
[BAO]   new_read_budget                 = 122401
[BAO]   new_write_budget                = 47771
[BAO]   total_used_read_budget          = 700501
[BAO]   total_used_write_budget         = 269117
[BAO]   total_calculated_new_read_budget = 0
[BAO]   total_calculated_new_write_budget= 0
[BAO] Counters: BEFORE
[BAO] C0: 221845
[BAO] C1: 92949
[BAO] C2: 0
[BAO] C3: 0
[BAO] C4: 0
[BAO] C5: 0
[BAO] EWMA: BEFORE
[BAO]   previous_predicted_read_budget  = 80766
[BAO]   previous_predicted_write_budget = 30259
[BAO]   new_read_budget                 = 122401
[BAO]   new_write_budget                = 47771
[BAO]   alpha                           = 2
[BAO]   scaling_factor                  = 10
[BAO] [BAO] OK current_read_usage != 0
[BAO] [BAO] OK current_write_usage != 0
[BAO] EWMA: AFTER
[BAO]   previous_predicted_read_budget  = 122401
[BAO]   previous_predicted_write_budget = 47771
[BAO]   new_read_budget                 = 142289
[BAO]   new_write_budget                = 56806
[BAO]   alpha                           = 2
[BAO]   scaling_factor                  = 10
[BAO] VM: AFTER
[BAO]   depleated_op_type               = 4294967295
[BAO]   defined_pmu_read_val            = 122401
[BAO]   defined_pmu_write_val           = 47771
[BAO]   current_used_read_budget        = 221845
[BAO]   current_used_write_budget       = 92949
[BAO]   new_read_budget                 = 142289
[BAO]   new_write_budget                = 56806
[BAO]   total_used_read_budget          = 922346
[BAO]   total_used_write_budget         = 362066
[BAO]   total_calculated_new_read_budget = 0
[BAO]   total_calculated_new_write_budget= 0
[BAO] Counters: AFTER
[BAO] C0: 0
[BAO] C1: 0
[BAO] C2: 0
[BAO] C3: 0
[BAO] C4: 0
[BAO] C5: 0
[DEBUG] done
[DEBUG] NOTHING 5
[DEBUG] OVERFLOW SIGNAL
[DEBUG] get budget TIMEOUT: 
[DEBUG] (current_time_task_any - last_check_time_task_any) >= period_task_any
[DEBUG] (150 - 120) >= 30 | 30 >= 30
[DEBUG] suspending task 0
[DEBUG] calling HC_regulator_get_new_budget
[BAO] regulator_budget_depleted	 formula 0
[BAO] VM: BEFORE
[BAO]   depleated_op_type               = 4294967295
[BAO]   defined_pmu_read_val            = 142289
[BAO]   defined_pmu_write_val           = 56806
[BAO]   current_used_read_budget        = 221845
[BAO]   current_used_write_budget       = 92949
[BAO]   new_read_budget                 = 142289
[BAO]   new_write_budget                = 56806
[BAO]   total_used_read_budget          = 922346
[BAO]   total_used_write_budget         = 362066
[BAO]   total_calculated_new_read_budget = 0
[BAO]   total_calculated_new_write_budget= 0
[BAO] Counters: BEFORE
[BAO] C0: 1055802
[BAO] C1: 327670
[BAO] C2: 0
[BAO] C3: 0
[BAO] C4: 0
[BAO] C5: 0
[BAO] EWMA: BEFORE
[BAO]   previous_predicted_read_budget  = 122401
[BAO]   previous_predicted_write_budget = 47771
[BAO]   new_read_budget                 = 142289
[BAO]   new_write_budget                = 56806
[BAO]   alpha                           = 2
[BAO]   scaling_factor                  = 10
[BAO] [BAO] OK current_read_usage != 0
[BAO] [BAO] OK current_write_usage != 0
[BAO] EWMA: AFTER
[BAO]   previous_predicted_read_budget  = 142289
[BAO]   previous_predicted_write_budget = 56806
[BAO]   new_read_budget                 = 324991
[BAO]   new_write_budget                = 110978
[BAO]   alpha                           = 2
[BAO]   scaling_factor                  = 10
[BAO] VM: AFTER
[BAO]   depleated_op_type               = 4294967295
[BAO]   defined_pmu_read_val            = 142289
[BAO]   defined_pmu_write_val           = 56806
[BAO]   current_used_read_budget        = 1055802
[BAO]   current_used_write_budget       = 327670
[BAO]   new_read_budget                 = 324991
[BAO]   new_write_budget                = 110978
[BAO]   total_used_read_budget          = 1978148
[BAO]   total_used_write_budget         = 689736
[BAO]   total_calculated_new_read_budget = 0
[BAO]   total_calculated_new_write_budget= 0
[BAO] Counters: AFTER
[BAO] C0: 0
[BAO] C1: 0
[BAO] C2: 0
[BAO] C3: 0
[BAO] C4: 0
[BAO] C5: 0
[DEBUG] done
[DEBUG] OVERFLOW SIGNAL
[DEBUG] get budget OVERFLOW
[DEBUG] suspending task 0
[DEBUG] calling HC_regulator_get_new_budget
[BAO] regulator_budget_depleted	 formula 0
[BAO] VM: BEFORE
[BAO]   depleated_op_type               = 4294967295
[BAO]   defined_pmu_read_val            = 324991
[BAO]   defined_pmu_write_val           = 110978
[BAO]   current_used_read_budget        = 1055802
[BAO]   current_used_write_budget       = 327670
[BAO]   new_read_budget                 = 324991
[BAO]   new_write_budget                = 110978
[BAO]   total_used_read_budget          = 1978148
[BAO]   total_used_write_budget         = 689736
[BAO]   total_calculated_new_read_budget = 0
[BAO]   total_calculated_new_write_budget= 0
[BAO] Counters: BEFORE
[BAO] C0: 35850
[BAO] C1: 4294961407
[BAO] C2: 0
[BAO] C3: 0
[BAO] C4: 0
[BAO] C5: 0
[BAO] EWMA: BEFORE
[BAO]   previous_predicted_read_budget  = 142289
[BAO]   previous_predicted_write_budget = 56806
[BAO]   new_read_budget                 = 324991
[BAO]   new_write_budget                = 110978
[BAO]   alpha                           = 2
[BAO]   scaling_factor                  = 10
[BAO] [BAO] OK current_read_usage != 0
[BAO] EWMA: AFTER
[BAO]   previous_predicted_read_budget  = 324991
[BAO]   previous_predicted_write_budget = 56806
[BAO]   new_read_budget                 = 267162
[BAO]   new_write_budget                = 110978
[BAO]   alpha                           = 2
[BAO]   scaling_factor                  = 10
[BAO] VM: AFTER
[BAO]   depleated_op_type               = 4294967295
[BAO]   defined_pmu_read_val            = 324991
[BAO]   defined_pmu_write_val           = 110978
[BAO]   current_used_read_budget        = 35850
[BAO]   current_used_write_budget       = 327670
[BAO]   new_read_budget                 = 267162
[BAO]   new_write_budget                = 110978
[BAO]   total_used_read_budget          = 2013998
[BAO]   total_used_write_budget         = 689736
[BAO]   total_calculated_new_read_budget = 0
[BAO]   total_calculated_new_write_budget= 0
[BAO] Counters: AFTER
[BAO] C0: 0
[BAO] C1: 0
[BAO] C2: 0
[BAO] C3: 0
[BAO] C4: 0
[BAO] C5: 0
[DEBUG] done
[DEBUG] OVERFLOW SIGNAL
[DEBUG] get budget TIMEOUT: 
[DEBUG] (current_time_task_any - last_check_time_task_any) >= period_task_any
[DEBUG] (182 - 150) >= 30 | 32 >= 30
[DEBUG] suspending task 0
[DEBUG] calling HC_regulator_get_new_budget
[BAO] regulator_budget_depleted	 formula 0
[BAO] VM: BEFORE
[BAO]   depleated_op_type               = 4294967295
[BAO]   defined_pmu_read_val            = 267162
[BAO]   defined_pmu_write_val           = 110978
[BAO]   current_used_read_budget        = 35850
[BAO]   current_used_write_budget       = 327670
[BAO]   new_read_budget                 = 267162
[BAO]   new_write_budget                = 110978
[BAO]   total_used_read_budget          = 2013998
[BAO]   total_used_write_budget         = 689736
[BAO]   total_calculated_new_read_budget = 0
[BAO]   total_calculated_new_write_budget= 0
[BAO] Counters: BEFORE
[BAO] C0: 746290
[BAO] C1: 182540
[BAO] C2: 0
[BAO] C3: 0
[BAO] C4: 0
[BAO] C5: 0
[BAO] EWMA: BEFORE
[BAO]   previous_predicted_read_budget  = 324991
[BAO]   previous_predicted_write_budget = 56806
[BAO]   new_read_budget                 = 267162
[BAO]   new_write_budget                = 110978
[BAO]   alpha                           = 2
[BAO]   scaling_factor                  = 10
[BAO] [BAO] OK current_read_usage != 0
[BAO] [BAO] OK current_write_usage != 0
[BAO] EWMA: AFTER
[BAO]   previous_predicted_read_budget  = 267162
[BAO]   previous_predicted_write_budget = 110978
[BAO]   new_read_budget                 = 362987
[BAO]   new_write_budget                = 125290
[BAO]   alpha                           = 2
[BAO]   scaling_factor                  = 10
[BAO] VM: AFTER
[BAO]   depleated_op_type               = 4294967295
[BAO]   defined_pmu_read_val            = 267162
[BAO]   defined_pmu_write_val           = 110978
[BAO]   current_used_read_budget        = 746290
[BAO]   current_used_write_budget       = 182540
[BAO]   new_read_budget                 = 362987
[BAO]   new_write_budget                = 125290
[BAO]   total_used_read_budget          = 2760288
[BAO]   total_used_write_budget         = 872276
[BAO]   total_calculated_new_read_budget = 0
[BAO]   total_calculated_new_write_budget= 0
[BAO] Counters: AFTER
[BAO] C0: 0
[BAO] C1: 0
[BAO] C2: 0
[BAO] C3: 0
[BAO] C4: 0
[BAO] C5: 0
[DEBUG] done
[DEBUG] OVERFLOW SIGNAL
[DEBUG] get budget OVERFLOW
[DEBUG] suspending task 0
[DEBUG] calling HC_regulator_get_new_budget
[BAO] regulator_budget_depleted	 formula 0
[BAO] VM: BEFORE
[BAO]   depleated_op_type               = 4294967295
[BAO]   defined_pmu_read_val            = 362987
[BAO]   defined_pmu_write_val           = 125290
[BAO]   current_used_read_budget        = 746290
[BAO]   current_used_write_budget       = 182540
[BAO]   new_read_budget                 = 362987
[BAO]   new_write_budget                = 125290
[BAO]   total_used_read_budget          = 2760288
[BAO]   total_used_write_budget         = 872276
[BAO]   total_calculated_new_read_budget = 0
[BAO]   total_calculated_new_write_budget= 0
[BAO] Counters: BEFORE
[BAO] C0: 122320
[BAO] C1: 15376
[BAO] C2: 0
[BAO] C3: 0
[BAO] C4: 0
[BAO] C5: 0
[BAO] EWMA: BEFORE
[BAO]   previous_predicted_read_budget  = 267162
[BAO]   previous_predicted_write_budget = 110978
[BAO]   new_read_budget                 = 362987
[BAO]   new_write_budget                = 125290
[BAO]   alpha                           = 2
[BAO]   scaling_factor                  = 10
[BAO] [BAO] OK current_read_usage != 0
[BAO] [BAO] OK current_write_usage != 0
[BAO] EWMA: AFTER
[BAO]   previous_predicted_read_budget  = 362987
[BAO]   previous_predicted_write_budget = 125290
[BAO]   new_read_budget                 = 314853
[BAO]   new_write_budget                = 103307
[BAO]   alpha                           = 2
[BAO]   scaling_factor                  = 10
[BAO] VM: AFTER
[BAO]   depleated_op_type               = 4294967295
[BAO]   defined_pmu_read_val            = 362987
[BAO]   defined_pmu_write_val           = 125290
[BAO]   current_used_read_budget        = 122320
[BAO]   current_used_write_budget       = 15376
[BAO]   new_read_budget                 = 314853
[BAO]   new_write_budget                = 103307
[BAO]   total_used_read_budget          = 2882608
[BAO]   total_used_write_budget         = 887652
[BAO]   total_calculated_new_read_budget = 0
[BAO]   total_calculated_new_write_budget= 0
[BAO] Counters: AFTER
[BAO] C0: 0
[BAO] C1: 0
[BAO] C2: 0
[BAO] C3: 0
[BAO] C4: 0
[BAO] C5: 0
[DEBUG] done
[DEBUG] OVERFLOW SIGNAL
[DEBUG] get budget TIMEOUT: 
[DEBUG] (current_time_task_any - last_check_time_task_any) >= period_task_any
[DEBUG] (215 - 182) >= 30 | 33 >= 30
[DEBUG] suspending task 0
[DEBUG] calling HC_regulator_get_new_budget
[BAO] regulator_budget_depleted	 formula 0
[BAO] VM: BEFORE
[BAO]   depleated_op_type               = 4294967295
[BAO]   defined_pmu_read_val            = 314853
[BAO]   defined_pmu_write_val           = 103307
[BAO]   current_used_read_budget        = 122320
[BAO]   current_used_write_budget       = 15376
[BAO]   new_read_budget                 = 314853
[BAO]   new_write_budget                = 103307
[BAO]   total_used_read_budget          = 2882608
[BAO]   total_used_write_budget         = 887652
[BAO]   total_calculated_new_read_budget = 0
[BAO]   total_calculated_new_write_budget= 0
[BAO] Counters: BEFORE
[BAO] C0: 540411
[BAO] C1: 144831
[BAO] C2: 0
[BAO] C3: 0
[BAO] C4: 0
[BAO] C5: 0
[BAO] EWMA: BEFORE
[BAO]   previous_predicted_read_budget  = 362987
[BAO]   previous_predicted_write_budget = 125290
[BAO]   new_read_budget                 = 314853
[BAO]   new_write_budget                = 103307
[BAO]   alpha                           = 2
[BAO]   scaling_factor                  = 10
[BAO] [BAO] OK current_read_usage != 0
[BAO] [BAO] OK current_write_usage != 0
[BAO] EWMA: AFTER
[BAO]   previous_predicted_read_budget  = 314853
[BAO]   previous_predicted_write_budget = 103307
[BAO]   new_read_budget                 = 359964
[BAO]   new_write_budget                = 111611
[BAO]   alpha                           = 2
[BAO]   scaling_factor                  = 10
[BAO] VM: AFTER
[BAO]   depleated_op_type               = 4294967295
[BAO]   defined_pmu_read_val            = 314853
[BAO]   defined_pmu_write_val           = 103307
[BAO]   current_used_read_budget        = 540411
[BAO]   current_used_write_budget       = 144831
[BAO]   new_read_budget                 = 359964
[BAO]   new_write_budget                = 111611
[BAO]   total_used_read_budget          = 3423019
[BAO]   total_used_write_budget         = 1032483
[BAO]   total_calculated_new_read_budget = 0
[BAO]   total_calculated_new_write_budget= 0
[BAO] Counters: AFTER
[BAO] C0: 0
[BAO] C1: 0
[BAO] C2: 0
[BAO] C3: 0
[BAO] C4: 0
[BAO] C5: 0
[DEBUG] done
[DEBUG] OVERFLOW SIGNAL
[DEBUG] get budget OVERFLOW
[DEBUG] suspending task 0
[DEBUG] calling HC_regulator_get_new_budget
[BAO] regulator_budget_depleted	 formula 0
[BAO] VM: BEFORE
[BAO]   depleated_op_type               = 4294967295
[BAO]   defined_pmu_read_val            = 359964
[BAO]   defined_pmu_write_val           = 111611
[BAO]   current_used_read_budget        = 540411
[BAO]   current_used_write_budget       = 144831
[BAO]   new_read_budget                 = 359964
[BAO]   new_write_budget                = 111611
[BAO]   total_used_read_budget          = 3423019
[BAO]   total_used_write_budget         = 1032483
[BAO]   total_calculated_new_read_budget = 0
[BAO]   total_calculated_new_write_budget= 0
[BAO] Counters: BEFORE
[BAO] C0: 186634
[BAO] C1: 46574
[BAO] C2: 0
[BAO] C3: 0
[BAO] C4: 0
[BAO] C5: 0
[BAO] EWMA: BEFORE
[BAO]   previous_predicted_read_budget  = 314853
[BAO]   previous_predicted_write_budget = 103307
[BAO]   new_read_budget                 = 359964
[BAO]   new_write_budget                = 111611
[BAO]   alpha                           = 2
[BAO]   scaling_factor                  = 10
[BAO] [BAO] OK current_read_usage != 0
[BAO] [BAO] OK current_write_usage != 0
[BAO] EWMA: AFTER
[BAO]   previous_predicted_read_budget  = 359964
[BAO]   previous_predicted_write_budget = 111611
[BAO]   new_read_budget                 = 325298
[BAO]   new_write_budget                = 98603
[BAO]   alpha                           = 2
[BAO]   scaling_factor                  = 10
[BAO] VM: AFTER
[BAO]   depleated_op_type               = 4294967295
[BAO]   defined_pmu_read_val            = 359964
[BAO]   defined_pmu_write_val           = 111611
[BAO]   current_used_read_budget        = 186634
[BAO]   current_used_write_budget       = 46574
[BAO]   new_read_budget                 = 325298
[BAO]   new_write_budget                = 98603
[BAO]   total_used_read_budget          = 3609653
[BAO]   total_used_write_budget         = 1079057
[BAO]   total_calculated_new_read_budget = 0
[BAO]   total_calculated_new_write_budget= 0
[BAO] Counters: AFTER
[BAO] C0: 0
[BAO] C1: 0
[BAO] C2: 0
[BAO] C3: 0
[BAO] C4: 0
[BAO] C5: 0
[DEBUG] done
[DEBUG] OVERFLOW SIGNAL
[DEBUG] get budget TIMEOUT: 
[DEBUG] (current_time_task_any - last_check_time_task_any) >= period_task_any
[DEBUG] (248 - 215) >= 30 | 33 >= 30
[DEBUG] suspending task 0
[DEBUG] calling HC_regulator_get_new_budget
[BAO] regulator_budget_depleted	 formula 0
[BAO] VM: BEFORE
[BAO]   depleated_op_type               = 4294967295
[BAO]   defined_pmu_read_val            = 325298
[BAO]   defined_pmu_write_val           = 98603
[BAO]   current_used_read_budget        = 186634
[BAO]   current_used_write_budget       = 46574
[BAO]   new_read_budget                 = 325298
[BAO]   new_write_budget                = 98603
[BAO]   total_used_read_budget          = 3609653
[BAO]   total_used_write_budget         = 1079057
[BAO]   total_calculated_new_read_budget = 0
[BAO]   total_calculated_new_write_budget= 0
[BAO] Counters: BEFORE
[BAO] C0: 557607
[BAO] C1: 157589
[BAO] C2: 0
[BAO] C3: 0
[BAO] C4: 0
[BAO] C5: 0
[BAO] EWMA: BEFORE
[BAO]   previous_predicted_read_budget  = 359964
[BAO]   previous_predicted_write_budget = 111611
[BAO]   new_read_budget                 = 325298
[BAO]   new_write_budget                = 98603
[BAO]   alpha                           = 2
[BAO]   scaling_factor                  = 10
[BAO] [BAO] OK current_read_usage != 0
[BAO] [BAO] OK current_write_usage != 0
[BAO] EWMA: AFTER
[BAO]   previous_predicted_read_budget  = 325298
[BAO]   previous_predicted_write_budget = 98603
[BAO]   new_read_budget                 = 371759
[BAO]   new_write_budget                = 110400
[BAO]   alpha                           = 2
[BAO]   scaling_factor                  = 10
[BAO] VM: AFTER
